"","day","hour","trips"
"1",1,0,3247
"2",1,1,1982
"3",1,2,1284
"4",1,3,1331
"5",1,4,1458
"6",1,5,2171
"7",1,6,3717
"8",1,7,5470
"9",1,8,5376
"10",1,9,4688
"11",1,10,4680
"12",1,11,4811
"13",1,12,5018
"14",1,13,5887
"15",1,14,7050
"16",1,15,8033
"17",1,16,8760
"18",1,17,9661
"19",1,18,8727
"20",1,19,8146
"21",1,20,7448
"22",1,21,7960
"23",1,22,6397
"24",1,23,4128
"25",2,0,2480
"26",2,1,1600
"27",2,2,1109
"28",2,3,1442
"29",2,4,1897
"30",2,5,2861
"31",2,6,5002
"32",2,7,6646
"33",2,8,6420
"34",2,9,4795
"35",2,10,4886
"36",2,11,5067
"37",2,12,5278
"38",2,13,5801
"39",2,14,7021
"40",2,15,8581
"41",2,16,10267
"42",2,17,11301
"43",2,18,11326
"44",2,19,9654
"45",2,20,8903
"46",2,21,8506
"47",2,22,7111
"48",2,23,5247
"49",3,0,3415
"50",3,1,2176
"51",3,2,1434
"52",3,3,1489
"53",3,4,1578
"54",3,5,2437
"55",3,6,4318
"56",3,7,5775
"57",3,8,5482
"58",3,9,4732
"59",3,10,4864
"60",3,11,5162
"61",3,12,5462
"62",3,13,6189
"63",3,14,7327
"64",3,15,8991
"65",3,16,10472
"66",3,17,10665
"67",3,18,11433
"68",3,19,9765
"69",3,20,9158
"70",3,21,8646
"71",3,22,7246
"72",3,23,4767
"73",4,0,2944
"74",4,1,1718
"75",4,2,1217
"76",4,3,1449
"77",4,4,1737
"78",4,5,2623
"79",4,6,4687
"80",4,7,6146
"81",4,8,5799
"82",4,9,4814
"83",4,10,4822
"84",4,11,5067
"85",4,12,5289
"86",4,13,6273
"87",4,14,7307
"88",4,15,8678
"89",4,16,9661
"90",4,17,10550
"91",4,18,10458
"92",4,19,9296
"93",4,20,8508
"94",4,21,8804
"95",4,22,7852
"96",4,23,5224
"97",5,0,2786
"98",5,1,1567
"99",5,2,1047
"100",5,3,1278
"101",5,4,1648
"102",5,5,2958
"103",5,6,4919
"104",5,7,6379
"105",5,8,6580
"106",5,9,5616
"107",5,10,5225
"108",5,11,5097
"109",5,12,5129
"110",5,13,5780
"111",5,14,7072
"112",5,15,8453
"113",5,16,9770
"114",5,17,10887
"115",5,18,10324
"116",5,19,9582
"117",5,20,9512
"118",5,21,9785
"119",5,22,9020
"120",5,23,6640
"121",6,0,4623
"122",6,1,2932
"123",6,2,1902
"124",6,3,1599
"125",6,4,1584
"126",6,5,2201
"127",6,6,3705
"128",6,7,4846
"129",6,8,5009
"130",6,9,4482
"131",6,10,4891
"132",6,11,5264
"133",6,12,5528
"134",6,13,6378
"135",6,14,7353
"136",6,15,8751
"137",6,16,9615
"138",6,17,10130
"139",6,18,9437
"140",6,19,8575
"141",6,20,8286
"142",6,21,8734
"143",6,22,8000
"144",6,23,6061
"145",7,0,3715
"146",7,1,2326
"147",7,2,1533
"148",7,3,1622
"149",7,4,1793
"150",7,5,2464
"151",7,6,4172
"152",7,7,5649
"153",7,8,5459
"154",7,9,4706
