"","base","day_of_week","trips"
"1","B02512","Friday",33633
"2","B02512","Monday",23908
"3","B02512","Saturday",27385
"4","B02512","Sunday",25270
"5","B02512","Thursday",33668
"6","B02512","Tuesday",29617
"7","B02512","Wednesday",32192
"8","B02598","Friday",228026
"9","B02598","Monday",156551
"10","B02598","Saturday",204933
"11","B02598","Sunday",181937
"12","B02598","Thursday",222932
"13","B02598","Tuesday",188715
"14","B02598","Wednesday",210019
"15","B02617","Friday",235080
"16","B02617","Monday",170066
"17","B02617","Saturday",211372
"18","B02617","Sunday",196906
"19","B02617","Thursday",228609
"20","B02617","Tuesday",200233
"21","B02617","Wednesday",216587
"22","B02682","Friday",200294
"23","B02682","Monday",137665
"24","B02682","Saturday",176179
"25","B02682","Sunday",155062
"26","B02682","Thursday",195334
"27","B02682","Tuesday",164200
"28","B02682","Wednesday",184055
"29","B02764","Friday",39785
"30","B02764","Monday",32103
"31","B02764","Saturday",43611
"32","B02764","Sunday",39045
"33","B02764","Thursday",37150
"34","B02764","Tuesday",36982
"35","B02764","Wednesday",35223
