"","hour","month","trips"
"1",0,"Apr",11910
"2",0,"May",13875
"3",0,"Jun",14514
"4",0,"Jul",17953
"5",0,"Aug",21451
"6",0,"Sep",24133
"7",1,"Apr",7769
"8",1,"May",8186
"9",1,"Jun",9167
"10",1,"Jul",11527
"11",1,"Aug",14471
"12",1,"Sep",16107
"13",2,"Apr",4935
"14",2,"May",5372
"15",2,"Jun",6189
"16",2,"Jul",8562
"17",2,"Aug",10105
"18",2,"Sep",10702
"19",3,"Apr",5040
"20",3,"May",5946
"21",3,"Jun",6937
"22",3,"Jul",9199
"23",3,"Aug",10376
"24",3,"Sep",10789
"25",4,"Apr",6095
"26",4,"May",6945
"27",4,"Jun",7701
"28",4,"Jul",10040
"29",4,"Aug",11774
"30",4,"Sep",12675
"31",5,"Apr",9476
"32",5,"May",10789
"33",5,"Jun",11955
"34",5,"Jul",14932
"35",5,"Aug",16525
"36",5,"Sep",20262
"37",6,"Apr",18498
"38",6,"May",21015
"39",6,"Jun",22030
"40",6,"Jul",23456
"41",6,"Aug",24907
"42",6,"Sep",33307
"43",7,"Apr",24924
"44",7,"May",27413
"45",7,"Jun",30834
"46",7,"Jul",32545
"47",7,"Aug",34064
"48",7,"Sep",43314
"49",8,"Apr",22843
"50",8,"May",25460
"51",8,"Jun",29771
"52",8,"Jul",33387
"53",8,"Aug",34566
"54",8,"Sep",44477
"55",9,"Apr",17939
"56",9,"May",20507
"57",9,"Jun",24298
"58",9,"Jul",28486
"59",9,"Aug",30195
"60",9,"Sep",38542
"61",10,"Apr",17865
"62",10,"May",20801
"63",10,"Jun",23584
"64",10,"Jul",28558
"65",10,"Aug",30706
"66",10,"Sep",37634
"67",11,"Apr",18774
"68",11,"May",22055
"69",11,"Jun",24155
"70",11,"Jul",30120
"71",11,"Aug",31778
"72",11,"Sep",38821
"73",12,"Apr",19425
"74",12,"May",23595
"75",12,"Jun",25233
"76",12,"Jul",30900
"77",12,"Aug",32106
"78",12,"Sep",39193
"79",13,"Apr",22603
"80",13,"May",27699
"81",13,"Jun",28937
"82",13,"Jul",35832
"83",13,"Aug",35764
"84",13,"Sep",45042
"85",14,"Apr",27190
"86",14,"May",34363
"87",14,"Jun",34428
"88",14,"Jul",41357
"89",14,"Aug",40644
"90",14,"Sep",52643
"91",15,"Apr",35324
"92",15,"May",43087
"93",15,"Jun",41586
"94",15,"Jul",46053
"95",15,"Aug",48197
"96",15,"Sep",61219
"97",16,"Apr",42003
"98",16,"May",49127
"99",16,"Jun",48162
"100",16,"Jul",52403
"101",16,"Aug",53481
"102",16,"Sep",68224
"103",17,"Apr",45475
"104",17,"May",51508
"105",17,"Jun",50452
"106",17,"Jul",58260
"107",17,"Aug",57122
"108",17,"Sep",73373
"109",18,"Apr",43003
"110",18,"May",48965
"111",18,"Jun",45013
"112",18,"Jul",57268
"113",18,"Aug",55390
"114",18,"Sep",75040
"115",19,"Apr",38923
"116",19,"May",42387
"117",19,"Jun",38203
"118",19,"Jul",52332
"119",19,"Aug",53008
"120",19,"Sep",69660
"121",20,"Apr",36244
"122",20,"May",40731
"123",20,"Jun",40108
"124",20,"Jul",51859
"125",20,"Aug",51674
"126",20,"Sep",63988
"127",21,"Apr",36964
"128",21,"May",42217
"129",21,"Jun",40791
"130",21,"Jul",49528
"131",21,"Aug",51354
"132",21,"Sep",60606
"133",22,"Apr",30645
"134",22,"May",35556
"135",22,"Jun",35614
"136",22,"Jul",42218
"137",22,"Aug",46008
"138",22,"Sep",51817
"139",23,"Apr",20649
"140",23,"May",24836
"141",23,"Jun",24182
"142",23,"Jul",29346
"143",23,"Aug",33609
"144",23,"Sep",36568
